country,gdp_usd_billion,gdp_per_capita_usd,gdp_growth_percent,population_million,inflation_percent,unemployment_percent,life_expectancy,internet_users_percent
Afghanistan,9738.67,90357.29,5.05,868.06,2.34,5.52,52.03,87.09
Albania,15629.39,67500.44,-2.77,1406.37,12.49,7.16,56.36,26.32
Algeria,7910.99,50232.06,1.75,422.29,9.18,5.05,60.23,42.61
Andorra,11858.36,74763.58,-0.8,745.64,8.89,2.35,71.26,25.18
Angola,1692.28,90185.02,7.62,1172.18,4.57,3.83,73.95,49.17
Antigua and Barbuda,3173.87,47445.66,-2.62,1318.52,3.88,20.21,60.91,56.29
Argentina,14214.92,18213.29,7.67,1123.94,14.09,26.95,70.93,92.05
Armenia,2301.72,19261.59,-2.5,471.74,5.83,8.87,79.01,41.75
Australia,7305.02,51921.97,-1.45,1163.19,1.12,29.62,77.03,27.69
Austria,144.57,77616.47,4.78,1057.06,11.57,3.15,62.55,20.31
Azerbaijan,22440.83,59514.68,0.64,92.17,4.66,10.43,75.54,66.74
Bahamas,23067.64,45282.65,-1.68,1034.21,11.41,17.28,76.98,53.95
Bahrain,13591.53,41074.36,-2.72,156.45,0.47,19.46,61.0,55.26
Bangladesh,23596.82,24283.33,1.51,1095.55,3.43,3.23,60.14,24.35
Barbados,24172.21,76924.94,3.97,1263.62,12.06,6.41,81.24,58.0
Belarus,20993.64,85211.8,0.5,159.58,3.42,13.39,78.63,86.61
Belgium,181.75,48912.4,1.59,322.06,1.8,10.79,83.0,38.77
Belize,13489.04,67024.39,1.0,1409.08,14.44,8.3,67.4,36.78
Benin,7406.57,4274.75,3.71,728.89,0.77,9.08,81.79,31.32
Bhutan,3768.12,46906.45,7.84,350.99,10.08,23.09,58.32,74.81
Bolivia,9562.99,60363.21,3.97,776.88,1.35,25.22,61.23,26.6
Bosnia and Herzegovina,1061.11,56462.12,4.45,24.06,7.68,7.57,72.58,25.52
Botswana,17964.69,37230.47,7.3,199.41,5.12,4.29,82.36,88.08
Brazil,6707.22,62970.5,5.99,805.05,7.94,8.01,53.26,89.85
Brunei,23410.97,60438.16,0.73,506.36,10.89,27.02,81.05,79.41
Bulgaria,16693.18,8725.98,-1.22,1302.9,9.1,1.27,53.55,69.05
Burkina Faso,132.6,15948.12,3.04,1003.25,9.78,7.5,74.93,31.12
Burundi,8461.07,71119.49,4.15,1231.38,9.86,17.48,53.28,42.73
Cabo Verde,6896.0,23783.82,7.7,570.0,13.38,19.3,77.82,54.73
Cambodia,14999.92,47195.17,-0.85,1047.56,4.21,1.71,72.59,25.76
Cameroon,24451.98,90660.07,7.06,536.74,0.23,27.92,64.99,96.03
Canada,25054.16,81153.49,0.24,558.4,12.77,10.19,55.93,59.56
Central African Republic,24340.09,66366.01,3.27,140.91,9.23,29.71,54.9,56.13
Chad,22811.82,70580.4,4.67,1018.6,5.39,9.51,78.33,82.1
Chile,22544.01,86827.26,2.62,727.2,11.97,19.85,74.57,80.83
China,23140.25,32639.14,1.13,136.28,8.67,2.04,66.3,58.3
Colombia,7450.79,56456.49,-2.66,54.16,12.34,11.45,54.45,56.48
Comoros,20020.06,21130.34,3.85,123.76,0.78,16.41,68.92,66.73
Congo,18878.65,92725.27,2.68,468.29,11.93,8.85,65.36,16.98
Costa Rica,660.09,91481.48,6.2,1009.17,6.13,6.03,55.48,32.27
Croatia,14280.34,68114.94,4.26,405.91,14.32,22.4,69.4,64.44
Cuba,10910.18,24136.26,0.92,1098.88,0.22,4.37,51.61,13.62
Cyprus,22242.12,67084.57,2.22,141.87,7.37,14.73,56.06,48.61
Czech Republic,10361.72,58813.08,3.99,65.7,5.62,19.15,67.61,86.23
Democratic Republic of the Congo,17126.38,16148.42,-2.22,931.51,0.4,17.99,82.91,61.22
Denmark,10093.03,61397.75,2.04,791.15,14.12,12.2,83.64,90.58
Djibouti,5091.37,7333.83,-1.89,26.43,1.42,20.81,52.49,38.39
Dominica,21966.91,2992.22,5.96,408.7,1.77,21.21,72.01,88.1
Dominican Republic,19112.11,76487.9,0.1,257.3,11.26,24.4,84.67,46.72
Ecuador,9673.1,73938.1,0.75,1349.6,12.88,13.44,76.28,77.15
Egypt,2682.12,85820.48,2.56,1198.37,4.8,26.97,63.62,10.96
